category,feedback
1,직원들이 매우 친절해요
1,알바생이 친절해요
1,서비스가 빠르고 정확해요
1,친절한 응대로 기분이 좋아졌어요
1,서비스 직원이 상냥했어요
1,직원들이 웃으며 맞아줘서 좋았어요
1,서비스 응대가 만족스러워요
1,빠른 서비스 덕분에 시간 절약했어요
1,친절한 서비스에 감동했어요
1,상담원이 적극적으로 도와줬어요
1,직원들이 세심하게 신경 써줬어요
1,서비스가 항상 일정해요
1,직원들이 친절하고 전문적이에요
1,서비스에 불만은 없어요
1,알바생이 능숙하게 응대해요
1,정중한 서비스로 만족했어요
1,직원들의 미소가 인상적이었어요
1,친절한 설명에 감사했어요
1,서비스 절차가 매끄러웠어요
1,직원들이 신속하게 대응했어요
1,친절한 응대 덕분에 재방문 의사가 있어요
1,직원들이 상냥하고 따뜻했어요
1,고객 응대가 만족스러워요
1,서비스 과정이 매끄럽게 진행됐어요
1,친절한 서비스에 큰 만족을 느꼈어요
1,알바생이 웃으며 응대해줬어요
1,직원들이 고객을 배려해요
1,세심한 서비스가 인상적이었어요
1,친절한 고객 지원이 돋보였어요
1,서비스 담당자가 신속하게 문제를 해결해줬어요
2,"온도가 너무 추워요, 난방을 켜주세요."
2,에어컨 온도 좀 낮춰주세요.
2,"화장실에 휴지가 없어요, 비치 부탁드립니다."
2,아이들이 너무 시끄러워서 다른 손님들이 불편해요.
2,알바생이 계속 딴 짓하며 고객 응대에 소홀해요.
2,"카페 내부 온도가 너무 높아요, 조절이 필요해요."
2,"조명이 너무 어둡습니다, 밝게 해주세요."
2,"음악 볼륨이 너무 큽니다, 줄여주세요."
2,"창문이 열려있어 추워요, 닫아주세요."
2,"에어컨이 너무 시끄러워요, 점검 부탁드려요."
2,"환기가 잘 안되어 답답합니다, 개선해 주세요."
2,"화장실 휴지가 부족해요, 보충해 주세요."
2,"알바생이 무례하게 응대합니다, 주의해 주세요."
2,"매장 안의 온도가 일정하지 않습니다, 점검해 주세요."
2,"주방에서 소음이 너무 커요, 고객이 불편해요."
2,바닥이 미끄러워 안전 문제가 우려됩니다.
2,"카페 입구에 쓰레기가 방치되어 있습니다, 청소 요청합니다."
2,에어컨 필터 교체가 필요한 것 같습니다.
2,"음악 선택이 지나치게 시끄러워요, 바꿔주세요."
2,"화장실에서 악취가 나요, 바로 조치해 주세요."
2,냉난방 시스템이 고장 난 것 같아요.
2,"알바생이 휴대폰을 사용하며 일하고 있어요, 주의가 필요해요."
2,"카페 내부의 좌석 배치가 혼잡해요, 개선 부탁드립니다."
2,"커튼이 고장나 찢어졌어요, 교체해 주세요."
2,"주차 공간 안내가 미흡합니다, 개선 바랍니다."
2,"메뉴판이 오래되어 읽기 어려워요, 업데이트해 주세요."
2,알바생이 계속 개인적인 대화를 나누며 업무에 집중하지 않아요.
2,"화장실 문이 제대로 잠기지 않습니다, 안전 문제가 우려돼요."
2,"카페 내부 온도가 급격하게 변합니다, 조정 부탁드립니다."
2,"음료 제공 시 사용되는 컵이 깨끗하지 않습니다, 위생 점검 부탁드려요."
3,커피 맛이 진하고 깊어요.
3,커피가 조금 연한 것 같아요.
3,제품 품질이 우수해요.
3,음료가 기대보다 별로였어요.
3,디저트가 신선하고 맛있어요.
3,제품의 신선도가 떨어져 아쉬워요.
3,에스프레소 향이 좋아요.
3,커피가 뜨겁게 제공되었어요.
3,제품 포장이 깔끔해요.
3,디저트의 맛이 훌륭해요.
3,음료의 맛이 일관적이에요.
3,제품 종류가 다양해요.
3,커피의 농도가 적절해요.
3,음료가 너무 달아서 실망했어요.
3,제품의 온도가 적당해요.
3,커피가 신선하게 느껴졌어요.
3,디저트의 플레이팅이 아름다워요.
3,제품의 맛이 기대 이상이었어요.
3,음료가 너무 차가워서 아쉬워요.
3,커피의 풍미가 깊었어요.
3,제품이 예상보다 풍부한 맛을 가지고 있어요.
3,디저트가 부드럽고 고소해요.
3,커피 맛이 균형 잡혀 있어요.
3,음료의 온도가 미묘하게 차가웠어요.
3,제품의 향이 강렬해요.
3,커피가 뜨거워서 즐기기 어려웠어요.
3,디저트의 신선도가 매우 좋아요.
3,제품의 맛이 일관적이고 만족스러워요.
3,음료의 질감이 부드러워요.
3,커피의 맛과 향이 조화로워요.
4,카페 분위기가 독특해요.
4,주차 공간이 부족해요.
4,음악 소리가 너무 시끄러워요.
4,카페 인테리어가 멋져요.
4,기타 평가
4,WiFi 속도가 느려요.
4,편안한 좌석 배치가 인상적이에요.
4,휴게실이 협소해요.
4,청결 상태가 우수해요.
4,화장실 청결 상태가 아쉬워요.
4,카페 내부 온도가 적절해요.
4,디스플레이 메뉴가 보기 쉬워요.
4,주변 소음이 많아요.
4,조명이 어둡고 분위기가 아쉬워요.
4,환경 친화적인 인테리어가 좋았어요.
4,카페 내부가 넓어 쾌적해요.
4,음악 선택이 취향에 맞지 않았어요.
4,카페 인테리어가 현대적이에요.
4,공간 활용이 효율적이에요.
4,주차장이 깨끗하고 잘 관리되고 있어요.
4,실내 소음이 낮아 편안해요.
4,조명이 밝아 분위기가 활기차요.
4,카페 외부 디자인이 매력적이에요.
4,음악 볼륨이 조절되어 좋았어요.
4,환기가 잘 되어 쾌적해요.
4,테이블 간 간격이 넓어 편안했어요.
4,인테리어 소품이 세련되어 있어요.
4,카페 내 장식이 독특해요.
4,좌석이 편안하고 아늑해요.
4,기타 서비스에 큰 만족을 느꼈어요.
